Mean_NDSM,SCI_NM,CMMN_NM,CON_DEC,Specie,names,min,max,avg,std,ske,kur,p05,p25,p50,p75,p90,c00,int_min,int_max,int_avg,int_std,int_ske,int_kur,int_p05,int_p25,int_p50,int_p75,int_p90
623.9166667,Ulmus parvifolia,Chinese elm,1,3,8638,1.38,8.76,6,1.98,-0.48,2.32,2.51,4.98,6.16,7.71,8.55,63,2680,29480,6734,6534.87,2.51,7.88,3216,3752,4422,5829,15785
1075.4375,Platanus occidentalis,American sycamore,1,4,8643,1.5,15.25,8.63,3.38,-0.31,2.77,1.64,6.87,8.68,11.21,12.8,86,2546,32767,4742,4402.63,4.86,27.33,2814,3216,3618,4522,5829
887.2280702,Quercus rubra,Red oak,1,2,8645,3.24,13.92,6.78,2.91,1.1,3.3,3.44,5.06,5.8,7.9,12.13,50,2680,9246,4143,1390.42,2.13,7.48,2814,3350,3886,4254,5521
1009.896774,Quercus rubra,Red oak,1,2,8647,1.5,13.17,9.1,2.49,-0.83,3.54,4.37,7.55,9.58,10.94,12.02,285,2546,32767,4680,3811.69,6.13,42.38,2948,3350,4020,4690,5628
564.4274194,Juniperus virginiana,Eastern redcedar,0,10,8650,1.49,9.62,4.71,2.52,0.45,1.69,1.71,2.49,3.57,7.02,8.5,535,2814,32767,18210,10358.8,-0.02,1.36,4154,7504,17822,28766,31304
585.5197368,Juniperus virginiana,Eastern redcedar,0,10,8651,1.44,10.1,4.96,2.61,0.27,1.56,1.69,2.58,4.4,7.45,8.66,639,2278,32767,16368,9634.5,0.16,1.48,3886,7169,14204,25795,28766
825.862069,Platanus occidentalis,American sycamore,1,4,8655,1.41,10.76,6.89,2.69,-0.59,2.19,1.82,5.05,7.71,9.08,9.92,70,2680,32767,6712,6259.11,2.85,10.82,2814,3517,4489,6432,11229
710.1411765,Acer platanoides,Norway maple,1,1,8666,1.37,11.91,5.35,3,0.63,2.1,1.56,3.34,3.66,8.06,9.77,109,2680,22914,5678,3962.76,2.8,11.04,2868,3618,4288,6030,9407
548.5128205,Juniperus virginiana,Eastern redcedar,0,10,8675,1.79,11.72,5.91,1.95,-0.15,3.34,2.22,4.56,6.35,7.23,8.03,103,3350,28140,15832,6502.08,-0.26,2,5105,10117,15946,21373,23450
716.9722222,Juniperus virginiana,Eastern redcedar,0,10,8676,3.63,8,6.75,1.09,-1.32,3.87,4.45,6.42,7.06,7.46,7.81,69,2814,28810,16663,8164.41,-0.21,1.73,3806,9246,18090,22780,27282
386.76,Juniperus virginiana,Eastern red-cedar,0,10,8681,1.6,5.18,3.45,0.81,0.03,2.52,2,2.94,3.36,3.96,4.58,87,3752,27470,15008,6372.22,-0.19,1.86,4770,8777,16348,20033,22726
799.2903226,Quercus rubra,Red oak,1,2,8692,3.19,13.55,6.99,3.02,0.85,2.72,3.89,4.99,6.05,8.68,10.89,16,2546,5494,3593,688.88,1.15,4.51,2847,3182,3484,3785,4221
579.1818182,Quercus rubra,Red oak,1,2,8697,4.71,6.78,5.91,0.95,-0.33,1.16,4.84,5.38,6.07,6.61,6.71,4,2948,3350,3149,232.09,0,0.75,2948,2948,3149,3350,3350
974.2340426,Quercus rubra,Red oak,1,2,8699,1.44,13.74,7.07,4.23,0.1,1.77,1.56,3.6,7.46,9.8,13.45,32,2412,29212,6897,7249.75,1.92,5.32,2546,2948,3551,7102,20757
451.1904762,Pinus strobus,White pine,0,7,8710,2.07,6.14,4.23,1.21,-0.01,1.71,2.34,3.22,4.02,5.37,5.63,34,3216,21172,11362,4927.98,0.29,2.22,3919,8006,10653,14371,18948
1426.336283,Quercus rubra,Red oak,1,2,8731,1.51,22.32,10.81,4.62,0.75,3.13,3.65,8.56,9.25,11.8,19.04,560,2546,32767,18680,13163.9,-0.08,1.14,3082,4154,22533,32767,32767
1370.744681,Quercus rubra,Red oak,1,2,8734,4.95,19.53,13.76,3.47,-0.63,3.02,7.97,11.45,14.05,16.05,17.57,37,2546,6700,3513,876.5,1.62,6.06,2546,2948,3350,3752,4663
753.6315789,Quercus rubra,Red oak,1,2,8749,2.58,11.1,6.97,2.37,-0.07,1.78,3.26,4.77,7.3,8.98,10.05,183,2680,8710,3817,784.98,1.99,10.94,2948,3216,3618,4154,4690
944.6447368,Platanus occidentalis,American sycamore,1,4,8762,1.39,14.54,7.66,2.89,0.45,3.08,3.31,5.93,7.12,9.18,12.26,170,2412,27872,4330,2761.47,6.48,50.86,2814,3350,3752,4422,5641
1187.692308,Quercus rubra,Red oak,1,2,8765,7.41,14.31,11.99,1.91,-1.06,2.8,8.29,11.01,12.7,13.28,13.54,32,2546,4556,3434,541.11,0.43,2.33,2680,3048,3350,3752,4154
538.6666667,Ulmus parvifolia,Chinese elm,1,3,8771,1.79,6.38,4.16,1.62,-0.36,1.66,1.79,2.6,4.44,5.56,5.94,38,2814,32767,9795,10928.5,1.37,3.06,2928,3350,4154,6197,32767
380.8,Taxodium distichum,Bald cypress,0,6,8778,2.75,4.52,3.65,0.58,-0.1,1.68,2.85,3.22,3.79,4,4.32,10,3484,11658,5775,2704.79,1.3,3.08,3544,4154,4891,5561,9849
1419.632184,Juniperus virginiana,Eastern redcedar,0,10,8779,5.45,19.62,11.25,3.89,0.41,1.92,6.04,7.97,10.44,14.48,16.7,119,2680,11658,4065,1112.03,3.21,20.37,2948,3350,3886,4422,5092
790.3658537,Acer platanoides,Norway maple,1,1,8784,1.47,12.01,7.37,3.03,0.02,1.84,2.56,5.22,6.83,10.23,11.67,389,2546,32767,13094,10760.2,0.65,1.75,3082,4020,6298,23852,28864
848.5580357,Taxodium distichum,Bald cypress,0,6,8794,2.47,11.88,7.62,1.91,-0.04,2.13,4.5,6.02,7.7,9.14,10.1,805,2546,19832,6632,3113.6,1.13,3.94,3216,4154,5762,8308,11256
773.4222222,Acer platanoides,Norway maple,1,1,8800,1.46,9.9,5.72,3,-0.09,1.3,1.68,2.93,6.65,8.68,9.17,37,2546,32767,9389,9417.25,1.26,2.9,2948,3618,4154,14740,26564
422.4210526,Ulmus parvifolia,Chinese elm,1,3,8803,2.22,5.46,3.89,0.91,0.17,1.82,2.7,3.29,3.81,4.79,5.15,34,3350,6432,4418,854.83,0.7,2.71,3350,3752,4221,4958,5454
810.9357143,Quercus rubra,Red oak,1,2,8804,2.98,10.84,7.36,1.81,-0.02,2.17,4.73,5.86,7.3,8.84,9.87,119,2680,7906,3826,763.56,1.72,9.13,2814,3350,3752,4154,4556
406.6190476,Ilex opaca,American Holly,0,8,8808,1.37,5.4,3.7,1.16,-0.54,2.12,1.49,2.98,3.97,4.65,4.9,62,3484,32767,21710,8481.51,-0.91,2.75,3926,17855,23771,28609,30035
965.17,Quercus rubra,Red oak,1,2,8813,2.7,13.84,9.47,3.18,-0.5,2.1,3.8,7.33,9.95,12.15,13.17,81,2546,11792,3863,1179.62,4.1,26.59,2948,3216,3484,4154,4824
964.122905,Quercus rubra,Red oak,1,2,8817,2.72,13.44,8.64,2.67,-0.03,2.03,4.53,6.62,8.68,10.9,12.43,154,2546,7772,3737,850.88,1.97,8.52,2814,3216,3618,4020,4690
969.4831461,Quercus rubra,Red oak,1,2,8823,2.6,15.96,8,3.2,0.17,2.08,3.35,5.14,7.92,10.39,12.04,104,2412,11390,3767,1612.8,2.7,10.72,2546,2814,3283,4020,5105
1427.392157,Quercus rubra,Red oak,1,2,8830,2.73,21.18,11.12,5.43,0.19,1.87,3.47,6.9,10.94,15.48,18.7,44,2948,23048,5375,3424.79,3.58,17.52,3082,3852,4489,5259,7785
439.52,Cercis canadensis,Eastern redbud,1,5,8832,2.79,5.97,3.8,0.56,1.03,5.92,3,3.41,3.85,4.13,4.27,50,2680,7772,4398,1060.9,0.75,3.61,2861,3752,4154,5092,5507
759.8157895,Quercus rubra,Red oak,1,2,8833,3.44,11.15,6.76,2.47,0.45,1.83,3.96,4.63,6.12,8.89,10.59,24,2814,4824,3769,562.04,-0.07,1.97,2948,3216,3819,4154,4288
1446.585185,Pinus strobus,White pine,0,7,8835,3.99,17.12,13.21,2.66,-1.8,6.32,6.32,12.59,13.58,14.7,15.87,338,2814,29346,15881,7275.06,-0.03,1.84,4630,9949,15410,22076,25728
425.9285714,Cercis species,Redbud,1,5,8842,2.28,5.87,3.44,0.84,1.49,6.03,2.31,3.09,3.47,3.52,3.76,14,2948,5494,3991,709.41,0.46,2.25,3122,3484,3819,4522,4650
625.7580645,Cercis canadensis,Eastern redbud,1,5,8844,1.5,9.42,5.7,1.36,0.32,3.3,4.12,4.7,5.28,7.05,7.42,84,2680,25058,5976,3927.57,2.74,11.41,3102,3752,4422,6733,9072
441.0714286,Taxodium distichum,Bald cypress,0,6,8852,2.18,7.57,3.71,1.54,0.83,2.38,2.33,2.51,2.75,4.99,5.67,44,2680,32767,13386,11741.2,0.57,1.57,2968,3618,5226,24007,32709
984.0863095,Tsuga canadensis,Hemlock,0,,1713,1.43,19.51,9.79,4.36,0.39,2.33,3.73,7.12,9.26,12.81,16.72,1018,2814,32767,19958,7994.87,-0.68,2.23,4670,14505,22421,26228,28703
729.76,Quercus rubra,Red oak,1,2,8864,3.39,9.7,5.5,1.77,1.01,2.8,3.59,4.33,4.76,6.61,8.38,23,2680,7772,4649,1550.34,0.62,1.95,2841,3484,4020,6164,6968
636.8928571,Taxodium distichum,Bald cypress,0,6,8866,2.6,9.15,5.26,1.3,0.82,3.43,3.64,4.34,4.92,6.17,6.85,88,2546,9380,4026,1151.08,1.73,7.12,2814,3216,3618,4455,5668
733.2439024,Acer platanoides,Norway maple,1,1,8867,1.5,11.22,4.62,3.23,0.5,1.77,1.62,1.7,2.22,7.32,9.26,45,2546,32767,12563,12087.4,0.78,1.77,2734,3618,4422,24959,32767
1066.134146,Cercis canadensis,Eastern redbud,1,5,8876,4.5,13.48,9.48,2.45,-0.25,1.82,5.43,7.15,10.04,11.43,12.62,183,2680,23690,6176,3692.66,2.43,9.51,3095,3953,5092,6566,10800
881.109375,Cercis canadensis,Eastern redbud,1,5,8877,3.26,12.38,8.11,2.67,0.02,1.72,4.35,5.68,8.03,10.6,11.79,124,2814,32767,6213,3966.15,3.35,18.91,3082,3886,5092,6733,9621
574.7380952,Ulmus parvifolia,Chinese elm,1,3,8895,1.6,7.34,5.24,1.47,-0.65,2.33,3.21,3.94,6.01,6.32,6.83,62,2814,12596,4435,1857.5,2.56,10.31,2955,3216,3886,4824,6003
1381.83871,Cedrus deodora,Deodar cedar,0,9,8907,1.76,18.37,11.21,4.65,-0.49,2.17,2.47,8.27,11.87,15.31,16.73,349,2412,27497,6130,4935.57,2.53,9.11,2948,3484,4288,5896,12060
834.0394737,Cercis species,Redbud,1,5,8926,2.8,13.11,6.71,2.38,0.37,2.15,3.35,4.73,6.18,8.56,10.41,503,2546,29346,14153,8378.08,0.12,1.57,3216,5896,15008,21842,25728
510.7692308,Ulmus parvifolia,Chinese elm,1,3,8932,3.35,5.85,4.83,0.84,-0.56,1.86,3.42,4.27,5.17,5.53,5.68,16,3350,6566,4556,1009.9,0.55,1.9,3350,3852,4154,5393,5829
896.2304147,Quercus rubra,Red oak,1,2,8940,1.55,15.72,7.54,2.43,0.88,5.01,3.96,6.88,7.14,7.56,11.19,1188,2680,32767,20514,11814.1,-0.44,1.49,3216,5326,25393,32573,32767
406.1666667,Cercis species,Redbud,1,5,8949,3.35,4.64,3.93,0.42,0.02,1.6,3.39,3.51,4.04,4.2,4.44,21,3082,5360,4020,724.1,0.42,1.91,3082,3484,3886,4422,5092
674.1150442,Quercus rubra,Red oak,1,2,8952,1.38,14.12,6.7,2.12,0.8,4.74,3.52,4.93,6.89,7.61,8.56,330,2680,32767,15965,12501.8,0.19,1.19,2948,3785,9246,28743,32767
